iter	RMSE
0	7.735873913
1	7.078990647
2	6.153782246
3	5.476667031
4	4.947434102
5	4.452676817
6	4.100522074
7	3.712063131
8	3.439737108
9	3.19439963
10	2.939809317
11	2.756741151
12	2.592277602
13	2.416022578
14	2.34260155
15	2.220513975
16	2.09072207
17	2.037955725
18	1.944407899
19	1.856001241
20	1.796419345
21	1.74835269
22	1.66371421
23	1.599802487
24	1.536649024
25	1.471211611
26	1.413934638
27	1.38274671
28	1.322142991
29	1.262353611
30	1.220135276
31	1.171997825
32	1.123118176
33	1.068581649
34	1.022925931
35	0.967184181
36	0.9359748585
37	0.8941345347
38	0.8621940366
39	0.8196376949
40	0.7802148401
41	0.7379306538
42	0.7115776822
43	0.68530408
44	0.652943974
45	0.624132021
46	0.6043625616
47	0.5861792279
48	0.5640163965
49	0.5339279297
50	0.5120567933
51	0.493542403
52	0.471055804
53	0.4544363012
54	0.4420594163
55	0.4329141126
56	0.4106236292
57	0.398826697
58	0.3800039102
59	0.3595013537
60	0.3483197084
61	0.3348205739
62	0.3197080561
63	0.3061849478
64	0.3029401638
65	0.2915707837
66	0.2835892456
67	0.2732584214
68	0.2630225197
69	0.2551981892
70	0.2444259123
71	0.2331092913
72	0.2266459157
73	0.2169303989
74	0.2090174278
75	0.2024144073
76	0.1935068569
77	0.1837165636
78	0.1768422483
79	0.1692425097
80	0.1603803371
81	0.1530366782
82	0.1476546087
83	0.1428608459
84	0.1358600199
85	0.1306859098
86	0.1259418989
87	0.1218585802
88	0.1158337864
89	0.1125872295
90	0.108681749
91	0.1046371876
92	0.1019835577
93	0.09794234452
94	0.09710873966
95	0.09437422368
96	0.0911396678
97	0.08835012305
98	0.08590157001
99	0.08272765409
100	0.08156741605
101	0.07766481846
102	0.07425168316
103	0.07145404684
104	0.06772942145
105	0.0651716105
106	0.06395383826
107	0.061031852
108	0.06051504758
109	0.05967681753
110	0.05907173112
111	0.05791540998
112	0.05507149007
113	0.05467219572
114	0.05236411053
115	0.05136514204
116	0.04964530299
117	0.0481950249
118	0.04709379811
119	0.04622742707
120	0.04406617232
121	0.04249883015
122	0.04051026577
123	0.0402525852
124	0.04003158254
125	0.03858139948
126	0.03704536366
127	0.03558775175
128	0.03488213657
129	0.03401028733
130	0.03335571671
131	0.03239593021
132	0.03113926374
133	0.02959852624
134	0.02866127355
135	0.02850780971
136	0.02719729256
137	0.0270592236
138	0.02614052613
139	0.02525188992
140	0.02433567557
141	0.02334327922
142	0.02284116556
143	0.02198201112
144	0.02175952788
145	0.02099305975
146	0.02069910314
147	0.02034440575
148	0.01953969979
149	0.01850343959
150	0.01821815025
151	0.0175397138
152	0.01692370204
153	0.01653583397
154	0.01632658025
155	0.01624717758
156	0.01561135417
157	0.01541814454
158	0.01476473025
159	0.01415194004
160	0.01352355793
161	0.01314361691
162	0.01291923141
163	0.0127160029
164	0.0121801286
165	0.01196436081
166	0.01137714528
167	0.01124377499
168	0.01073780237
169	0.01037332297
170	0.01018550068
171	0.01012699494
172	0.009992562203
173	0.009733132352
174	0.009491950737
175	0.009284818522
176	0.00897812528
177	0.008838961639
178	0.008427021555
179	0.00825751115
180	0.008123309485
181	0.007894426039
182	0.0075849556
183	0.007492001331
184	0.007364620221
185	0.007002348542
186	0.006807266792
187	0.006627422023
188	0.006394401238
189	0.006108261711
190	0.005790249186
191	0.005610725885
192	0.005503450223
193	0.005347730526
194	0.005266673199
